GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
1700016K19Rik_ENSMUSG00000053783.5,319,640,287,345,854,739,602,473
1700016M24Rik_ENSMUSG00000022603.2,0,0,0,0,0,0,0,0
1700017B05Rik_ENSMUSG00000032300.5,467,357,643,526,395,390,311,351
1700017D01Rik_ENSMUSG00000024729.6,0,0,0,0,0,0,0,0
1700017G19Rik_ENSMUSG00000037884.3,0,0,0,0,0,0,0,0
1700017N19Rik_ENSMUSG00000056912.5,0,0,0,0,0,0,0,0
1700018A14Rik_ENSMUSG00000033993.1,0,0,0,0,0,3,0,0
1700018B08Rik_ENSMUSG00000031809.3,0,0,0,0,0,0,0,0
1700018B24Rik_ENSMUSG00000037910.1,0,0,0,0,0,0,0,0
1700018C11Rik_ENSMUSG00000058935.8,0,0,0,0,0,0,0,0
1700018F24Rik_ENSMUSG00000029620.3,1,0,0,0,7,0,0,0
1700018L24Rik_ENSMUSG00000031512.8,0,0,1,0,3,0,0,0
1700019A02Rik_ENSMUSG00000060715.3,0,0,0,0,0,0,0,0
1700019B03Rik_ENSMUSG00000040340.7,2,3,1,0,0,0,0,0
1700019D03Rik_ENSMUSG00000043629.6,0,3,2,0,5,0,0,3
1700019E19Rik_ENSMUSG00000007867.7,287,652,355,429,866,642,780,693
1700019G06Rik_ENSMUSG00000030623.2,2,0,0,0,0,1,0,0
1700019G17Rik_ENSMUSG00000068299.5,15,10,21,27,34,30,59,15
1700019L03Rik_ENSMUSG00000038987.8,199,268,148,217,338,251,229,173
1700019M22Rik_ENSMUSG00000059695.3,0,0,0,0,0,0,0,0
1700019N12Rik_ENSMUSG00000050623.4,0,0,0,0,0,0,0,0
1700019N19Rik_ENSMUSG00000026931.4,0,0,0,0,0,3,0,0
1700020A23Rik_ENSMUSG00000027409.4,0,0,0,0,0,0,0,0
1700020C07Rik_ENSMUSG00000017767.3,0,1,2,0,0,0,4,1
1700020L24Rik_ENSMUSG00000035085.4,6,7,1,5,11,7,6,0
1700020N01Rik_ENSMUSG00000050844.4,0,3,1,0,0,0,0,6
1700020N15Rik_ENSMUSG00000059690.1,0,0,0,0,0,0,0,0
1700020O03Rik_ENSMUSG00000021254.7,233,173,226,179,154,163,146,122
1700021A07Rik_ENSMUSG00000037535.3,0,1,3,0,3,3,0,0
1700021C14Rik_ENSMUSG00000010538.7,12,53,25,10,35,26,64,45
1700021F05Rik_ENSMUSG00000019797.4,121,161,125,146,229,203,323,255
1700021F07Rik_ENSMUSG00000027518.3,0,0,0,0,0,0,5,0
1700021K19Rik_ENSMUSG00000035629.10,587,312,529,415,410,359,249,247
1700021O21Rik_ENSMUSG00000079528.2,0,0,0,0,0,0,0,0
1700022I11Rik_ENSMUSG00000028451.6,0,0,0,0,0,0,0,0
1700022P22Rik_ENSMUSG00000057072.5,0,4,0,0,0,0,0,0
1700023A16Rik_ENSMUSG00000030292.5,0,4,0,0,4,2,0,0
1700023E05Rik_ENSMUSG00000029248.8,16,15,13,24,29,7,21,27
1700023F06Rik_ENSMUSG00000020940.7,1,4,0,1,0,3,2,1
1700024B05Rik_ENSMUSG00000052334.4,0,0,0,0,0,0,0,0
1700024G13Rik_ENSMUSG00000072473.3,139,270,111,183,356,370,366,332
1700024N20Rik_ENSMUSG00000091154.1,1,3,3,1,3,0,1,6
1700024P04Rik_ENSMUSG00000045022.5,0,0,0,0,0,0,0,0
1700024P16Rik_ENSMUSG00000078612.2,2,1,3,2,7,1,9,5
1700025C18Rik_ENSMUSG00000078935.1,0,0,0,0,0,0,0,0
1700025E21Rik_ENSMUSG00000029784.7,0,9,0,0,0,2,0,3
1700025F22Rik_ENSMUSG00000024728.6,0,0,0,0,0,0,0,0
1700025G04Rik_ENSMUSG00000032666.10,62,33,65,37,72,64,55,53
1700025K23Rik_ENSMUSG00000051736.2,13,18,15,23,16,36,33,39
1700026D08Rik_ENSMUSG00000011154.9,353,522,315,375,703,579,493,544
1700026J04Rik_ENSMUSG00000021414.6,6,20,6,11,25,10,24,22
1700026L06Rik_ENSMUSG00000026809.8,260,608,195,352,475,538,495,464
1700027A23Rik_ENSMUSG00000010136.7,370,818,331,451,736,708,798,726
1700027D21Rik_ENSMUSG00000009115.5,0,0,7,1,0,2,3,0
1700028I16Rik_ENSMUSG00000056821.6,1,0,0,0,0,0,0,0
1700028J19Rik_ENSMUSG00000038782.4,3,1,3,5,0,5,1,4
1700028K03Rik_ENSMUSG00000089798.3,1,0,0,0,0,0,0,0
1700028P14Rik_ENSMUSG00000033053.3,94,225,69,98,232,158,223,153
1700029F09Rik_ENSMUSG00000026049.5,160,200,109,126,192,199,186,165
1700029F12Rik_ENSMUSG00000052075.6,0,0,0,0,0,0,0,0
1700029G01Rik_ENSMUSG00000073758.4,45,50,41,36,65,59,18,24
1700029H14Rik_ENSMUSG00000031452.8,1,0,1,0,0,0,0,0
1700029I15Rik_ENSMUSG00000044916.4,4,3,4,4,6,3,11,7
1700029J07Rik_ENSMUSG00000071103.3,153,120,87,113,300,188,154,137
1700029J11Rik_ENSMUSG00000027505.2,7,0,5,4,0,2,2,1
1700029P11Rik_ENSMUSG00000061633.2,0,0,0,0,0,0,0,0
1700030C10Rik_ENSMUSG00000091071.1,1,0,1,0,9,1,9,0
1700030F18Rik_ENSMUSG00000045350.7,0,0,0,0,5,3,0,0
1700030J22Rik_ENSMUSG00000031847.7,43,45,69,56,105,35,34,49
1700030K09Rik_ENSMUSG00000052794.7,161,181,161,147,152,165,148,92
1700031F05Rik_ENSMUSG00000032894.6,0,0,0,0,0,0,0,0
1700034E13Rik_ENSMUSG00000024532.7,2,5,1,7,2,1,0,1
1700034F02Rik_ENSMUSG00000020461.3,2,0,8,9,16,4,6,3
1700034H14Rik_ENSMUSG00000024645.3,167,220,114,168,280,186,276,195
1700034H15Rik_ENSMUSG00000055833.8,0,0,1,0,0,0,0,0
1700034I23Rik_ENSMUSG00000074619.2,0,0,0,0,0,0,0,0
1700034J04Rik_ENSMUSG00000050325.2,0,0,0,0,0,0,0,0
1700034J05Rik_ENSMUSG00000040163.8,0,0,0,0,0,0,0,0
1700034O15Rik_ENSMUSG00000029867.5,0,0,0,0,0,0,0,0
1700036A12Rik_ENSMUSG00000052481.4,0,0,0,0,0,0,0,0
1700037C18Rik_ENSMUSG00000005983.8,69,99,54,47,155,88,113,89
1700037H04Rik_ENSMUSG00000027327.7,118,93,125,150,106,158,202,205
1700039E15Rik_ENSMUSG00000070568.3,0,0,0,0,0,0,0,0
1700040I03Rik_ENSMUSG00000030008.3,79,163,74,83,115,120,112,105
1700040L02Rik_ENSMUSG00000019945.3,116,168,74,88,228,172,174,145
1700041G16Rik_ENSMUSG00000054822.4,0,2,0,0,0,4,0,1
1700042B14Rik_ENSMUSG00000057402.5,0,0,0,0,0,0,0,0
1700042G07Rik_ENSMUSG00000078593.2,0,0,0,0,0,0,0,0
1700045I11Rik_ENSMUSG00000091473.1,0,0,0,0,0,0,0,0
1700047G07Rik_ENSMUSG00000053206.4,0,0,0,0,0,0,0,0
1700047I17Rik2_ENSMUSG00000034953.7,0,0,0,0,0,0,0,0
1700048O20Rik_ENSMUSG00000043773.4,4,0,0,0,9,2,10,6
1700049E17Rik1_ENSMUSG00000079271.2,0,0,0,0,0,0,0,0
1700049E17Rik2_ENSMUSG00000072613.4,0,0,0,0,0,0,0,0
1700049G17Rik_ENSMUSG00000070709.5,36,30,73,55,99,21,35,55
1700052N19Rik_ENSMUSG00000061759.9,231,187,209,211,268,187,215,240
1700054N08Rik_ENSMUSG00000031971.9,17,22,8,12,21,10,34,16
1700054O13Rik_ENSMUSG00000040456.1,0,0,1,0,0,0,0,0
1700054O19Rik_ENSMUSG00000057293.2,0,0,0,0,0,0,0,0
1700055D18Rik_ENSMUSG00000070997.3,3,0,4,2,1,1,0,4
1700055N04Rik_ENSMUSG00000037263.6,1,0,0,0,2,0,0,0
1700056E22Rik_ENSMUSG00000044854.4,3,5,0,5,3,4,11,3
1700057G04Rik_ENSMUSG00000074139.2,0,0,0,0,0,0,0,0
1700057K13Rik_ENSMUSG00000026592.7,0,0,0,0,0,0,0,0
1700060C20Rik_ENSMUSG00000078957.2,0,0,0,0,0,0,0,0
1700061G19Rik_ENSMUSG00000024209.8,9,13,5,11,10,7,26,12
1700061I17Rik_ENSMUSG00000028009.5,0,0,0,0,0,0,0,0
1700061J05Rik_ENSMUSG00000062154.6,1,0,0,0,7,1,0,0
1700063H04Rik_ENSMUSG00000040657.3,0,0,0,0,0,0,0,0
1700064H15Rik_ENSMUSG00000082766.1,0,4,2,0,0,5,1,5
1700065I17Rik_ENSMUSG00000032900.7,0,0,0,1,0,0,0,0
1700066B19Rik_ENSMUSG00000073598.3,3,11,0,0,4,0,1,0
1700066M21Rik_ENSMUSG00000038323.2,43,52,37,44,68,34,23,28
1700067K01Rik_ENSMUSG00000046408.7,6,0,1,4,7,6,0,0
1700067P10Rik_ENSMUSG00000021545.4,0,0,0,0,0,0,0,0
1700069B07Rik_ENSMUSG00000053081.2,0,0,0,0,0,0,0,4
1700069L16Rik_ENSMUSG00000042184.5,0,0,0,0,0,0,0,0
1700072E05Rik_ENSMUSG00000035454.1,0,0,0,0,0,0,0,0
1700074P13Rik_ENSMUSG00000029883.6,0,0,0,0,0,0,0,0
1700080E11Rik_ENSMUSG00000032566.3,0,0,0,0,0,0,0,0
1700080O16Rik_ENSMUSG00000031118.2,0,0,0,0,0,0,0,0
1700081L11Rik_ENSMUSG00000018412.9,1132,516,1160,974,924,520,651,447
1700084C01Rik_ENSMUSG00000070532.3,7,9,118,32,6,2,54,46
1700084J12Rik_ENSMUSG00000058101.2,0,1,0,0,0,0,0,0
1700084M14Rik_ENSMUSG00000057805.4,0,0,0,0,0,0,0,0
1700086D15Rik_ENSMUSG00000020548.4,0,0,0,0,0,0,0,0
1700086L19Rik_ENSMUSG00000071265.3,0,0,0,0,0,0,0,0
1700088E04Rik_ENSMUSG00000033029.5,270,473,191,282,632,450,395,376
1700090G07Rik_ENSMUSG00000037689.5,0,0,0,0,0,0,0,0
1700091H14Rik_ENSMUSG00000090741.1,0,0,0,0,0,0,0,0
1700092K14Rik_ENSMUSG00000078600.1,0,0,0,0,0,0,0,0
1700092M07Rik_ENSMUSG00000090840.1,0,0,3,0,0,2,0,0
1700093K21Rik_ENSMUSG00000020286.6,0,0,0,0,0,0,0,0
1700094D03Rik_ENSMUSG00000078667.2,572,1090,467,678,1115,1004,1367,1143
1700101E01Rik_ENSMUSG00000079502.2,181,243,145,196,340,297,198,193
1700101G07Rik_ENSMUSG00000074571.1,0,0,0,0,0,0,0,0
1700101I19Rik_ENSMUSG00000045815.3,0,0,0,0,0,0,0,0
1700102P08Rik_ENSMUSG00000032611.4,14,0,12,11,6,11,3,0
1700104B16Rik_ENSMUSG00000049476.6,0,2,0,0,1,0,0,0
1700106J16Rik_ENSMUSG00000034031.4,0,0,0,0,0,0,0,0
1700106N22Rik_ENSMUSG00000071037.4,45,74,31,49,81,45,61,45
1700108M19Rik_ENSMUSG00000020545.5,0,0,0,0,0,0,0,0
1700109H08Rik_ENSMUSG00000008307.5,8,12,11,8,7,0,14,2
1700110I01Rik_ENSMUSG00000079407.2,0,0,0,0,0,0,0,0
1700110M21Rik_ENSMUSG00000042888.4,0,0,0,0,0,0,0,0
1700111E14Rik_ENSMUSG00000029837.1,0,0,0,0,0,0,0,0
1700112E06Rik_ENSMUSG00000063458.5,77,198,98,162,153,135,206,241
1700113H08Rik_ENSMUSG00000047129.4,1,0,1,2,10,1,2,1
1700119I11Rik_ENSMUSG00000082488.1,0,0,0,0,0,0,0,0
1700120B22Rik_ENSMUSG00000045391.3,1,0,1,0,0,2,0,0
1700123I01Rik_ENSMUSG00000024786.3,0,0,2,0,0,0,1,0
1700123K08Rik_ENSMUSG00000029526.1,0,0,0,0,0,0,0,0
1700123L14Rik_ENSMUSG00000072878.3,0,0,0,0,0,0,0,0
1700123O20Rik_ENSMUSG00000040822.6,286,412,224,243,410,322,586,281
1700125D06Rik_ENSMUSG00000078554.2,0,1,0,0,0,1,0,0
1700125H20Rik_ENSMUSG00000018479.6,0,0,0,0,0,3,4,0
1700128F08Rik_ENSMUSG00000031998.4,0,0,0,0,0,0,0,1
1700129C05Rik_ENSMUSG00000021977.5,0,0,0,0,0,0,0,0
