GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
Usp18_ENSMUSG00000030107.9,324,315,242,220,527,415,407,298
Usp19_ENSMUSG00000006676.9,2023,1182,2686,2015,1584,1458,1311,1094
Usp1_ENSMUSG00000028560.5,612,505,524,523,617,453,622,543
Usp20_ENSMUSG00000026854.9,244,180,230,188,204,154,180,137
Usp21_ENSMUSG00000053483.7,473,448,460,527,479,469,456,409
Usp22_ENSMUSG00000042506.9,427,257,490,353,323,254,334,294
Usp24_ENSMUSG00000028514.9,1077,333,1699,891,859,428,643,402
Usp25_ENSMUSG00000022867.8,1496,977,1268,1102,1389,840,1072,810
Usp26_ENSMUSG00000055780.4,0,0,0,0,0,0,0,0
Usp27x_ENSMUSG00000046269.8,18,8,22,15,20,10,10,22
Usp28_ENSMUSG00000032267.6,306,195,288,259,298,194,151,148
Usp29_ENSMUSG00000051527.6,0,0,0,0,0,0,0,0
Usp2_ENSMUSG00000032010.7,141,166,152,180,207,173,156,136
Usp30_ENSMUSG00000029592.7,197,166,201,178,134,145,125,137
Usp31_ENSMUSG00000063317.6,131,44,246,120,92,52,101,52
Usp32_ENSMUSG00000000804.8,718,256,919,704,650,279,365,301
Usp33_ENSMUSG00000025437.8,895,615,758,753,850,540,667,667
Usp34_ENSMUSG00000056342.9,1406,682,2212,1462,1385,558,1023,855
Usp36_ENSMUSG00000033909.10,274,157,372,271,298,195,160,186
Usp37_ENSMUSG00000033364.6,204,96,256,163,219,98,175,105
Usp38_ENSMUSG00000038250.7,798,532,609,526,965,517,482,405
Usp39_ENSMUSG00000056305.3,433,531,366,410,537,466,522,455
Usp3_ENSMUSG00000032376.6,670,582,556,508,736,651,708,566
Usp40_ENSMUSG00000005501.7,202,140,256,203,261,121,189,142
Usp42_ENSMUSG00000051306.7,297,144,307,210,239,221,139,133
Usp43_ENSMUSG00000020905.5,104,68,97,137,165,108,68,71
Usp44_ENSMUSG00000020020.7,2,4,2,2,0,0,3,0
Usp45_ENSMUSG00000040455.11,141,46,246,126,139,60,142,74
Usp46_ENSMUSG00000054814.8,151,212,137,173,232,138,165,138
Usp47_ENSMUSG00000059263.6,1611,980,1699,1390,1774,863,1291,924
Usp48_ENSMUSG00000043411.8,937,472,1030,883,991,581,808,604
Usp49_ENSMUSG00000090115.1,5,3,10,7,4,6,0,9
Usp4_ENSMUSG00000032612.8,1716,1489,1589,1353,1665,1395,1405,1182
Usp50_ENSMUSG00000027364.5,0,0,0,1,0,0,0,0
Usp51_ENSMUSG00000067215.5,0,0,0,3,0,0,0,0
Usp53_ENSMUSG00000039701.6,171,105,151,115,228,80,107,84
Usp54_ENSMUSG00000034235.10,228,129,334,163,188,135,77,107
Usp5_ENSMUSG00000038429.4,948,778,1074,881,771,791,830,749
Usp6nl_ENSMUSG00000039046.9,426,254,407,350,311,265,250,225
Usp7_ENSMUSG00000022710.10,1775,829,1858,1292,1155,822,993,771
Usp8_ENSMUSG00000027363.8,1608,1018,1585,1409,1402,1203,1366,1198
Usp9x_ENSMUSG00000031010.10,1920,942,2648,1854,1852,758,1378,1142
Usp9y_ENSMUSG00000069044.5,0,0,3,1,0,0,0,0
Uspl1_ENSMUSG00000041264.10,625,511,782,699,795,501,627,509
Ust_ENSMUSG00000047712.7,23,31,43,38,9,36,14,31
Utf1_ENSMUSG00000047751.8,4,6,0,1,0,1,0,1
Utp11l_ENSMUSG00000028907.7,455,557,306,328,576,536,618,525
Utp14a_ENSMUSG00000063785.6,731,555,695,699,1069,680,870,675
Utp14b_ENSMUSG00000079470.2,38,20,34,34,47,17,15,33
Utp15_ENSMUSG00000041747.2,252,242,286,268,305,206,274,222
Utp18_ENSMUSG00000054079.5,466,573,401,471,500,516,603,533
Utp20_ENSMUSG00000004356.7,450,201,609,325,441,240,318,244
Utp23_ENSMUSG00000022313.10,124,127,101,144,139,160,150,163
Utp3_ENSMUSG00000070697.3,714,874,589,643,996,956,942,928
Utp6_ENSMUSG00000035575.5,514,465,553,551,704,426,415,503
Utrn_ENSMUSG00000019820.8,788,286,1378,653,777,319,471,301
Uts2_ENSMUSG00000028963.1,0,0,0,0,0,0,0,0
Uts2d_ENSMUSG00000056423.7,0,0,0,0,0,0,0,0
Uts2r_ENSMUSG00000039321.1,0,0,0,0,0,0,0,0
Uty_ENSMUSG00000068457.7,364,195,367,379,0,0,0,0
Uvrag_ENSMUSG00000035354.8,687,422,575,515,545,453,410,354
Uxs1_ENSMUSG00000057363.6,255,298,248,313,275,241,278,354
Uxt_ENSMUSG00000001134.3,53,138,39,43,65,93,136,97
V1ra8_ENSMUSG00000062546.4,0,0,0,0,0,0,0,0
V1rd19_ENSMUSG00000092456.1,0,0,0,0,0,0,0,0
V1rh19_ENSMUSG00000069295.1,0,0,0,0,0,0,0,0
Vac14_ENSMUSG00000010936.9,597,454,709,609,452,494,530,547
Vamp1_ENSMUSG00000030337.10,84,60,49,54,40,36,15,44
Vamp2_ENSMUSG00000020894.10,129,116,113,123,121,141,111,105
Vamp3_ENSMUSG00000028955.3,172,275,146,202,210,239,220,257
Vamp4_ENSMUSG00000026696.8,253,340,226,363,328,383,533,519
Vamp5_ENSMUSG00000073002.3,93,295,77,106,139,199,236,193
Vamp8_ENSMUSG00000050732.9,1412,2719,1118,1455,2108,2708,3617,2775
Vangl1_ENSMUSG00000027860.9,88,66,70,91,103,89,67,66
Vangl2_ENSMUSG00000026556.9,14,15,12,9,18,21,5,3
Vapa_ENSMUSG00000024091.8,1098,1243,1083,1237,1711,1415,1583,1546
Vapb_ENSMUSG00000054455.4,379,349,450,434,506,406,468,517
Vars2_ENSMUSG00000038838.9,293,201,196,231,195,237,219,209
Vars_ENSMUSG00000007029.9,2679,2066,1889,1793,2027,2025,1499,1302
Vash1_ENSMUSG00000021256.4,47,12,68,35,16,29,9,14
Vash2_ENSMUSG00000037568.6,1,0,1,0,0,0,0,0
Vasn_ENSMUSG00000039646.5,91,101,128,79,96,149,31,78
Vasp_ENSMUSG00000030403.8,2001,2008,1984,1827,1986,2192,2002,1994
Vat1_ENSMUSG00000034993.7,826,1158,1407,2153,1010,1014,1223,1798
Vat1l_ENSMUSG00000046844.6,2,5,1,2,0,0,0,0
Vav1_ENSMUSG00000034116.9,1867,1214,2084,1656,1640,1387,1433,1358
Vav2_ENSMUSG00000009621.10,542,454,799,787,437,437,454,426
Vav3_ENSMUSG00000033721.8,113,59,217,142,80,33,185,104
Vax1_ENSMUSG00000006270.4,0,0,0,0,0,0,0,0
Vax2_ENSMUSG00000034777.1,0,0,0,0,0,1,0,0
Vbp1_ENSMUSG00000031197.5,309,525,269,351,622,482,523,538
Vcam1_ENSMUSG00000027962.9,467,363,449,324,359,316,297,341
Vcan_ENSMUSG00000021614.9,113,81,813,172,80,87,74,113
Vcl_ENSMUSG00000021823.8,886,499,993,615,748,452,289,341
Vcp_ENSMUSG00000028452.7,932,791,992,887,1106,848,1027,954
Vcpip1_ENSMUSG00000045210.8,886,596,991,777,810,424,706,539
Vdac1_ENSMUSG00000020402.4,1018,1343,1007,1347,1468,1507,1643,1762
Vdac2_ENSMUSG00000021771.7,1388,1858,1428,1672,1923,1873,2634,2512
Vdac3_ENSMUSG00000008892.4,198,287,142,209,337,314,432,372
Vdr_ENSMUSG00000022479.9,116,88,148,102,127,131,147,79
Vegfa_ENSMUSG00000023951.9,171,133,166,146,160,242,65,103
Vegfb_ENSMUSG00000024962.7,75,88,66,149,92,104,75,126
Vegfc_ENSMUSG00000031520.4,63,116,57,75,92,96,63,69
Veph1_ENSMUSG00000027831.8,7,3,5,2,23,11,0,4
Vezf1_ENSMUSG00000018377.4,444,257,598,437,629,219,203,189
Vezt_ENSMUSG00000036099.9,177,162,195,167,217,130,169,126
Vgf_ENSMUSG00000037428.8,1,0,4,2,0,0,0,0
Vgll1_ENSMUSG00000031131.5,0,0,0,0,0,0,0,0
Vgll2_ENSMUSG00000049641.5,0,0,0,0,0,0,0,0
Vgll3_ENSMUSG00000091243.1,8,19,35,21,5,20,25,15
Vgll4_ENSMUSG00000030315.8,330,284,318,220,286,254,207,205
Vhl_ENSMUSG00000033933.7,80,57,88,61,122,63,79,77
Vil1_ENSMUSG00000026175.6,1,6,3,4,6,4,0,2
Vill_ENSMUSG00000038775.8,293,477,250,285,350,331,336,330
Vim_ENSMUSG00000026728.3,20378,24809,28176,29682,24987,26927,36684,36564
Vip_ENSMUSG00000019772.4,0,0,0,0,0,0,0,0
Vipar_ENSMUSG00000021038.9,336,435,332,428,448,378,481,381
Vipr1_ENSMUSG00000032528.4,57,44,102,79,66,49,44,28
Vipr2_ENSMUSG00000011171.4,11,9,37,15,16,30,26,4
Vit_ENSMUSG00000024076.8,51,105,38,61,46,104,27,52
Vkorc1_ENSMUSG00000030804.7,242,507,219,262,296,422,461,425
Vkorc1l1_ENSMUSG00000066735.5,29,28,39,51,64,44,74,51
Vldlr_ENSMUSG00000024924.7,100,54,123,117,111,87,57,71
Vma21-ps_ENSMUSG00000061619.2,0,0,0,0,0,1,0,0
Vma21_ENSMUSG00000073131.5,50,62,29,52,42,58,57,86
Vmac_ENSMUSG00000054723.5,31,32,29,25,51,54,58,26
Vmn1r100_ENSMUSG00000074331.1,0,0,0,0,0,0,0,0
Vmn1r101_ENSMUSG00000090932.1,0,0,0,0,0,0,0,0
Vmn1r103_ENSMUSG00000091884.1,0,0,0,0,0,0,0,0
Vmn1r104_ENSMUSG00000091121.1,0,0,0,0,0,0,0,0
Vmn1r107_ENSMUSG00000091763.1,0,0,0,0,0,0,0,0
Vmn1r109_ENSMUSG00000092498.1,0,0,0,0,0,0,0,0
Vmn1r10_ENSMUSG00000068476.4,0,0,0,0,0,0,0,0
Vmn1r110_ENSMUSG00000092170.1,0,0,0,0,0,0,0,0
Vmn1r111_ENSMUSG00000091608.1,0,0,0,0,0,0,0,0
Vmn1r112_ENSMUSG00000074322.3,0,0,0,0,0,0,0,0
Vmn1r113_ENSMUSG00000091638.2,0,0,0,0,0,0,0,0
Vmn1r114_ENSMUSG00000074323.1,0,0,0,0,0,0,0,0
Vmn1r115_ENSMUSG00000091435.1,0,0,0,0,0,0,0,0
Vmn1r116_ENSMUSG00000090835.1,0,0,0,0,0,0,0,0
Vmn1r117_ENSMUSG00000090651.1,0,0,0,0,0,0,0,0
Vmn1r118_ENSMUSG00000091935.1,0,0,0,0,0,0,0,0
Vmn1r119_ENSMUSG00000091433.1,0,0,0,0,0,0,0,0
Vmn1r11_ENSMUSG00000059204.2,0,0,0,0,0,0,0,0
Vmn1r120_ENSMUSG00000091988.1,0,0,0,0,0,0,0,0
Vmn1r121_ENSMUSG00000078407.2,0,0,0,0,0,0,0,0
Vmn1r122_ENSMUSG00000091225.1,0,0,0,0,0,0,0,0
Vmn1r123_ENSMUSG00000091320.1,0,0,0,0,0,0,0,0
Vmn1r124_ENSMUSG00000078410.1,0,0,0,0,0,0,0,0
Vmn1r125_ENSMUSG00000074325.2,0,0,0,0,0,0,0,0
Vmn1r126_ENSMUSG00000090745.1,0,0,0,0,0,0,0,0
Vmn1r127_ENSMUSG00000078409.1,0,0,0,0,0,0,0,0
Vmn1r128_ENSMUSG00000092136.1,0,0,0,0,0,0,0,0
Vmn1r129_ENSMUSG00000090880.1,0,0,0,0,0,0,0,0
Vmn1r12_ENSMUSG00000057981.3,0,0,0,0,0,0,0,0
Vmn1r130_ENSMUSG00000092013.1,0,0,0,0,0,0,0,0
Vmn1r132_ENSMUSG00000074316.2,0,0,0,0,0,0,0,0
Vmn1r135_ENSMUSG00000090829.1,0,0,0,0,0,0,0,0
Vmn1r137_ENSMUSG00000078404.1,0,0,0,0,0,0,0,0
Vmn1r139_ENSMUSG00000074311.3,0,0,0,0,0,0,0,0
Vmn1r13_ENSMUSG00000064259.1,3,1,0,0,8,0,0,1
Vmn1r142_ENSMUSG00000090973.1,0,0,0,0,0,0,0,0
Vmn1r143_ENSMUSG00000091789.1,0,0,0,0,0,0,0,0
Vmn1r148_ENSMUSG00000074309.1,0,0,0,0,0,0,0,0
Vmn1r149_ENSMUSG00000091276.1,0,0,0,0,0,0,0,0
Vmn1r14_ENSMUSG00000068475.1,0,0,0,0,0,0,0,0
Vmn1r151_ENSMUSG00000090495.1,0,0,0,0,0,0,0,0
Vmn1r152_ENSMUSG00000091755.1,0,0,0,0,0,0,0,0
Vmn1r155_ENSMUSG00000091436.1,0,0,0,0,0,0,0,0
Vmn1r157_ENSMUSG00000074304.2,0,0,0,0,0,0,0,0
Vmn1r158_ENSMUSG00000092582.1,0,0,0,0,0,0,0,0
Vmn1r159_ENSMUSG00000091236.1,0,0,0,0,0,0,0,0
Vmn1r15_ENSMUSG00000058731.1,0,0,0,0,0,0,0,0
Vmn1r160_ENSMUSG00000092145.1,0,0,0,0,0,0,0,0
Vmn1r163_ENSMUSG00000090830.1,0,0,0,0,0,0,0,0
Vmn1r165_ENSMUSG00000090848.1,0,0,0,0,0,0,0,0
Vmn1r167_ENSMUSG00000090715.1,0,0,0,0,0,0,0,0
Vmn1r168_ENSMUSG00000074291.2,0,0,0,0,0,0,0,0
Vmn1r169_ENSMUSG00000091616.1,0,0,0,0,0,0,0,0
Vmn1r16_ENSMUSG00000068474.1,0,0,0,0,0,0,0,0
Vmn1r170_ENSMUSG00000090985.1,0,0,0,0,0,0,0,0
Vmn1r171_ENSMUSG00000062483.3,0,0,0,0,0,0,0,0
Vmn1r172_ENSMUSG00000035523.7,0,0,0,0,0,0,0,0
Vmn1r173_ENSMUSG00000074289.4,0,0,0,0,0,0,0,0
Vmn1r174_ENSMUSG00000090411.1,0,0,0,0,0,0,0,0
Vmn1r175_ENSMUSG00000091068.1,0,0,0,0,0,0,0,0
Vmn1r176_ENSMUSG00000091226.1,0,0,0,0,0,0,0,0
Vmn1r177_ENSMUSG00000057513.3,0,0,0,0,0,0,0,0
Vmn1r178_ENSMUSG00000062598.2,0,0,0,0,0,0,0,0
Vmn1r179_ENSMUSG00000046924.3,0,0,0,0,0,0,0,0
Vmn1r17_ENSMUSG00000063812.1,0,0,0,0,0,0,0,0
Vmn1r180_ENSMUSG00000092473.1,0,0,0,0,0,0,0,0
Vmn1r181_ENSMUSG00000057946.4,0,0,0,0,0,0,0,0
Vmn1r183_ENSMUSG00000066723.1,0,0,0,0,0,0,0,0
Vmn1r184_ENSMUSG00000046130.6,0,0,0,0,0,0,0,0
Vmn1r185_ENSMUSG00000091924.1,0,0,0,0,0,0,0,0
Vmn1r188_ENSMUSG00000069299.1,0,0,0,0,0,0,0,0
Vmn1r189_ENSMUSG00000061222.2,0,0,0,0,0,0,0,0
Vmn1r18_ENSMUSG00000091382.1,0,0,0,0,0,0,0,0
Vmn1r191_ENSMUSG00000057209.1,0,0,0,0,0,0,0,0
Vmn1r192_ENSMUSG00000057299.2,0,0,0,0,0,0,0,0
Vmn1r193_ENSMUSG00000046932.1,0,0,0,0,0,0,0,0
Vmn1r194_ENSMUSG00000069297.1,0,0,0,0,0,0,0,0
Vmn1r195_ENSMUSG00000069296.2,0,0,0,0,0,0,0,0
Vmn1r197_ENSMUSG00000069294.1,0,0,0,0,0,0,0,0
Vmn1r198_ENSMUSG00000069293.1,0,0,0,0,0,0,0,0
Vmn1r199_ENSMUSG00000069292.3,0,0,0,0,0,0,0,0
Vmn1r19_ENSMUSG00000068426.4,0,0,0,0,0,0,0,0
Vmn1r1_ENSMUSG00000091013.2,0,0,0,0,0,0,0,0
Vmn1r200_ENSMUSG00000069291.2,0,0,0,0,0,0,0,0
Vmn1r201_ENSMUSG00000069290.1,0,0,0,0,0,0,0,0
Vmn1r202_ENSMUSG00000063269.1,0,0,0,0,0,0,0,0
Vmn1r203_ENSMUSG00000069289.1,0,0,0,0,0,0,0,0
Vmn1r204_ENSMUSG00000069288.1,0,0,0,0,0,0,0,0
Vmn1r205_ENSMUSG00000064243.2,0,0,0,0,0,0,0,0
Vmn1r206_ENSMUSG00000071495.2,0,0,0,0,0,0,0,0
Vmn1r208_ENSMUSG00000071493.4,0,0,0,0,0,0,0,0
Vmn1r209_ENSMUSG00000071491.1,0,0,0,0,0,0,0,0
Vmn1r20_ENSMUSG00000090283.1,0,0,0,0,0,0,0,0
Vmn1r210_ENSMUSG00000061296.1,0,0,0,0,0,0,0,0
Vmn1r211_ENSMUSG00000063998.2,0,0,0,0,0,0,0,0
Vmn1r212_ENSMUSG00000071490.2,0,0,0,0,0,0,0,0
Vmn1r213_ENSMUSG00000060024.1,0,0,0,0,0,0,0,0
Vmn1r214_ENSMUSG00000061829.2,0,0,0,0,0,0,0,0
Vmn1r215_ENSMUSG00000056882.2,0,0,0,0,0,0,0,0
Vmn1r216_ENSMUSG00000057799.2,0,0,0,0,0,0,0,0
Vmn1r217_ENSMUSG00000069282.4,0,0,0,0,0,0,0,0
Vmn1r218_ENSMUSG00000060490.1,0,0,0,0,0,0,0,0
Vmn1r219_ENSMUSG00000061376.1,0,0,0,0,0,0,0,0
Vmn1r21_ENSMUSG00000058588.3,0,0,0,0,0,0,0,0
Vmn1r220_ENSMUSG00000057395.1,0,0,0,0,0,0,0,0
Vmn1r222_ENSMUSG00000061022.2,0,0,0,0,0,0,0,0
Vmn1r223_ENSMUSG00000069280.1,0,0,0,0,0,0,0,0
Vmn1r224_ENSMUSG00000091151.1,0,0,0,0,0,0,0,0
Vmn1r225_ENSMUSG00000043537.1,0,0,0,0,0,0,0,0
Vmn1r226_ENSMUSG00000042848.3,0,0,0,0,0,0,0,0
Vmn1r228_ENSMUSG00000060245.3,0,0,0,0,0,0,0,0
Vmn1r229_ENSMUSG00000061150.2,0,0,0,0,0,0,0,0
Vmn1r22_ENSMUSG00000059362.2,0,0,0,0,0,0,0,0
Vmn1r230_ENSMUSG00000045417.1,0,0,0,0,0,0,0,0
Vmn1r231_ENSMUSG00000050933.2,0,0,0,0,0,0,0,0
Vmn1r232_ENSMUSG00000062165.2,0,0,0,0,0,0,0,0
Vmn1r233_ENSMUSG00000045575.1,0,0,0,0,0,0,0,0
Vmn1r234_ENSMUSG00000057203.2,0,0,0,0,0,0,0,0
Vmn1r235_ENSMUSG00000050102.4,0,0,0,0,0,0,0,0
Vmn1r236_ENSMUSG00000054142.4,0,0,0,0,0,0,0,0
Vmn1r237_ENSMUSG00000058030.3,0,0,0,0,0,0,0,0
Vmn1r238_ENSMUSG00000091539.1,0,0,0,0,0,0,0,0
Vmn1r23_ENSMUSG00000068465.3,0,0,0,0,0,0,0,0
Vmn1r24_ENSMUSG00000060390.2,0,0,0,0,0,0,0,0
Vmn1r25_ENSMUSG00000060687.2,0,0,0,0,0,0,0,0
Vmn1r26_ENSMUSG00000048697.3,0,0,0,0,0,0,0,0
Vmn1r27_ENSMUSG00000071428.1,0,0,0,0,0,0,0,0
Vmn1r28_ENSMUSG00000043361.5,0,0,0,0,0,0,0,0
Vmn1r29_ENSMUSG00000091734.1,0,0,0,0,0,0,0,0
Vmn1r2_ENSMUSG00000078367.2,0,0,0,0,0,0,0,0
Vmn1r30_ENSMUSG00000057144.4,0,0,0,0,0,0,0,0
Vmn1r31_ENSMUSG00000090696.1,0,0,0,0,0,0,0,0
Vmn1r32_ENSMUSG00000062905.1,0,0,0,0,0,0,0,0
Vmn1r33_ENSMUSG00000059375.1,0,0,0,0,0,0,0,0
Vmn1r34_ENSMUSG00000091012.1,0,0,0,0,0,0,0,0
Vmn1r35_ENSMUSG00000060699.1,0,0,0,0,0,0,0,0
Vmn1r36_ENSMUSG00000063974.1,0,0,0,0,0,0,0,0
Vmn1r37_ENSMUSG00000057612.1,0,0,0,0,0,0,0,0
Vmn1r38_ENSMUSG00000068425.1,0,0,0,0,0,0,0,0
Vmn1r39_ENSMUSG00000090950.1,0,0,0,0,0,0,0,0
Vmn1r3_ENSMUSG00000078366.2,0,0,0,0,0,0,0,0
Vmn1r40_ENSMUSG00000059546.1,0,0,0,0,0,0,0,0
Vmn1r41_ENSMUSG00000068230.5,0,0,0,0,0,0,0,0
Vmn1r42_ENSMUSG00000068232.2,0,0,0,0,0,0,0,0
Vmn1r43_ENSMUSG00000068231.2,0,0,0,0,0,0,0,0
Vmn1r44_ENSMUSG00000068234.5,0,0,0,0,0,0,0,0
Vmn1r45_ENSMUSG00000044248.3,0,0,0,0,0,0,0,0
Vmn1r46_ENSMUSG00000061653.1,0,0,0,0,0,0,0,0
Vmn1r47_ENSMUSG00000060724.1,0,0,0,0,0,0,0,0
Vmn1r48_ENSMUSG00000057592.1,0,0,0,0,0,0,0,0
Vmn1r49_ENSMUSG00000060151.1,0,0,0,0,0,0,0,0
Vmn1r4_ENSMUSG00000071893.3,2,0,0,2,0,0,0,0
Vmn1r50_ENSMUSG00000058595.1,0,0,0,0,0,0,0,0
Vmn1r51_ENSMUSG00000062818.5,0,0,0,0,0,0,0,0
Vmn1r52_ENSMUSG00000060816.2,0,0,0,0,0,0,0,0
Vmn1r53_ENSMUSG00000057697.2,0,0,0,0,0,0,0,0
Vmn1r54_ENSMUSG00000047203.2,0,0,0,0,0,0,0,0
Vmn1r55_ENSMUSG00000074402.3,0,0,0,0,0,0,0,0
Vmn1r56_ENSMUSG00000091874.1,0,0,0,0,0,0,0,0
Vmn1r57_ENSMUSG00000091652.1,0,0,0,0,0,0,0,0
Vmn1r58_ENSMUSG00000078808.3,0,0,0,0,0,0,0,0
Vmn1r59_ENSMUSG00000074401.2,0,0,0,0,0,0,0,0
Vmn1r5_ENSMUSG00000090346.1,0,0,0,0,0,0,0,3
Vmn1r60_ENSMUSG00000090794.2,0,0,0,0,0,0,0,0
Vmn1r61_ENSMUSG00000090776.1,0,0,0,0,0,0,0,0
Vmn1r62_ENSMUSG00000092579.1,0,0,0,0,0,0,0,0
Vmn1r63_ENSMUSG00000058631.6,0,0,0,0,0,0,0,0
Vmn1r63_ENSMUSG00000092423.1,0,0,0,0,0,0,0,0
Vmn1r64_ENSMUSG00000058399.2,0,0,0,0,0,0,0,0
Vmn1r65_ENSMUSG00000066850.1,0,0,0,0,0,0,0,0
Vmn1r66_ENSMUSG00000043066.4,0,0,0,0,0,0,0,0
Vmn1r67_ENSMUSG00000046716.4,0,0,0,0,0,0,0,0
Vmn1r68_ENSMUSG00000047031.4,0,0,0,0,0,0,0,0
Vmn1r69_ENSMUSG00000091662.1,0,0,0,0,0,0,0,0
Vmn1r6_ENSMUSG00000058923.4,0,0,0,0,0,0,0,0
Vmn1r70_ENSMUSG00000045340.3,0,0,0,0,0,0,0,0
Vmn1r71_ENSMUSG00000059206.3,0,0,0,0,0,0,0,0
Vmn1r72_ENSMUSG00000070824.1,0,0,0,0,0,0,0,0
Vmn1r73_ENSMUSG00000051687.1,0,0,0,0,0,0,0,0
Vmn1r74_ENSMUSG00000047655.1,0,0,0,0,0,0,0,0
Vmn1r75_ENSMUSG00000043308.1,0,0,0,0,0,0,0,0
Vmn1r76_ENSMUSG00000045713.1,0,0,0,0,0,0,0,0
Vmn1r77_ENSMUSG00000091201.1,0,0,0,0,0,0,0,0
Vmn1r78_ENSMUSG00000061602.2,0,0,0,0,0,0,0,0
Vmn1r79_ENSMUSG00000046443.3,0,0,0,0,0,0,0,0
Vmn1r7_ENSMUSG00000061481.4,0,0,0,0,0,0,0,0
Vmn1r80_ENSMUSG00000057161.2,0,0,0,0,0,0,0,0
Vmn1r81_ENSMUSG00000066805.1,0,0,0,0,0,0,0,0
Vmn1r82_ENSMUSG00000058132.3,0,0,0,0,0,0,0,0
Vmn1r83_ENSMUSG00000066804.2,0,0,0,0,0,0,0,0
Vmn1r84_ENSMUSG00000066803.1,0,0,0,0,0,0,0,0
Vmn1r85_ENSMUSG00000070817.1,0,0,0,0,0,0,0,0
Vmn1r86_ENSMUSG00000070816.2,0,0,0,0,0,0,0,0
Vmn1r87_ENSMUSG00000070815.1,0,0,0,0,0,0,0,0
Vmn1r88_ENSMUSG00000090814.1,0,0,0,0,0,0,0,0
Vmn1r89_ENSMUSG00000050453.4,0,0,0,0,0,0,0,0
Vmn1r8_ENSMUSG00000061208.4,0,0,0,0,0,0,0,0
Vmn1r90_ENSMUSG00000041596.5,2,0,0,2,1,1,0,0
Vmn1r91_ENSMUSG00000090393.1,0,0,0,0,0,0,0,0
Vmn1r93_ENSMUSG00000074333.1,0,0,0,0,0,0,0,0
Vmn1r94_ENSMUSG00000091701.1,0,0,0,0,0,0,0,0
Vmn1r95_ENSMUSG00000091197.1,0,0,0,0,0,0,0,0
Vmn1r9_ENSMUSG00000091541.1,0,0,0,0,0,0,0,0
Vmn2r-ps100_ENSMUSG00000090456.1,0,0,0,0,0,0,0,0
Vmn2r-ps104_ENSMUSG00000074834.3,0,0,0,0,0,0,0,0
Vmn2r-ps105_ENSMUSG00000078997.1,0,0,0,0,0,0,0,0
Vmn2r-ps106_ENSMUSG00000078996.1,0,0,0,0,0,0,0,0
Vmn2r-ps113_ENSMUSG00000067978.5,0,0,0,0,0,0,0,0
Vmn2r-ps128_ENSMUSG00000090355.1,0,0,0,0,0,0,0,0
Vmn2r100_ENSMUSG00000091859.1,0,0,0,0,0,0,0,0
Vmn2r101_ENSMUSG00000090680.1,0,0,0,0,0,0,0,0
Vmn2r102_ENSMUSG00000090884.1,0,0,0,0,0,0,0,0
Vmn2r103_ENSMUSG00000091771.1,0,0,0,0,0,0,0,0
Vmn2r104_ENSMUSG00000090315.1,0,0,0,0,0,0,0,0
Vmn2r105_ENSMUSG00000091670.1,0,0,0,0,0,0,0,0
Vmn2r106_ENSMUSG00000091656.1,0,0,0,0,0,0,0,0
Vmn2r107_ENSMUSG00000056910.4,0,0,0,0,0,0,0,0
Vmn2r108_ENSMUSG00000091805.1,2,0,0,0,3,0,0,0
Vmn2r109_ENSMUSG00000090572.1,0,0,0,0,0,0,0,0
Vmn2r10_ENSMUSG00000067010.2,0,0,0,0,0,0,0,0
Vmn2r110_ENSMUSG00000091259.1,0,0,0,0,0,0,0,0
Vmn2r111_ENSMUSG00000073445.3,0,0,0,0,0,0,0,0
Vmn2r112_ENSMUSG00000073444.3,0,0,0,0,0,0,0,0
Vmn2r113_ENSMUSG00000092111.1,0,0,0,0,0,0,0,0
Vmn2r114_ENSMUSG00000091945.1,0,0,0,0,0,0,0,0
Vmn2r115_ENSMUSG00000091076.1,0,0,0,0,0,0,0,0
Vmn2r116_ENSMUSG00000090966.1,0,0,0,0,0,0,0,0
Vmn2r117_ENSMUSG00000091407.1,0,0,0,0,0,0,0,0
Vmn2r118_ENSMUSG00000091504.1,0,0,0,0,0,0,0,0
Vmn2r11_ENSMUSG00000091450.1,0,0,0,0,0,0,0,0
Vmn2r120_ENSMUSG00000090655.1,0,0,0,0,0,0,0,0
Vmn2r121_ENSMUSG00000072049.4,0,0,0,0,0,0,0,0
Vmn2r12_ENSMUSG00000090688.1,0,0,0,0,0,0,0,0
Vmn2r13_ENSMUSG00000091635.1,0,0,0,0,0,0,0,0
Vmn2r14_ENSMUSG00000091059.1,0,0,0,0,0,0,0,0
Vmn2r15_ENSMUSG00000091375.1,0,0,0,0,0,0,0,0
Vmn2r16_ENSMUSG00000092080.1,0,0,0,0,0,0,0,0
Vmn2r17_ENSMUSG00000091879.1,0,0,0,0,0,0,0,0
Vmn2r18_ENSMUSG00000091794.1,0,0,0,3,0,0,0,0
Vmn2r19_ENSMUSG00000091260.1,0,0,0,0,0,0,0,0
Vmn2r1_ENSMUSG00000027824.4,1,0,0,0,0,0,7,0
Vmn2r20_ENSMUSG00000090280.1,0,0,0,0,0,0,0,0
Vmn2r21_ENSMUSG00000090960.1,0,0,0,0,0,0,0,0
